start_block,end_block,total_candidate_outputs,pruned_outputs,matching_pairs,outputs_with_match
736432,737439,36496,33492,582788,21846
737440,738447,34014,31154,563737,20823
738448,739455,34498,31090,593706,21020
739456,740463,32566,29778,515383,19610
740464,741471,40802,37363,426816,24104
741472,742479,33045,30076,455015,20031
742480,743487,32452,29593,447743,19523
743488,744495,31559,28909,419522,19418
744496,745503,32077,29721,477589,19932
745504,746511,31233,28428,459004,19416
746512,747519,32429,29412,466947,20018
747520,748527,30914,27559,448704,18632
748528,749535,35394,32268,531563,21196
749536,750543,32290,29944,462388,19254
750544,751551,30323,27876,367749,17536
751552,752559,32578,29858,346188,18935
752560,753567,37187,34062,1737500,24548
753568,754575,32077,28834,428576,19818
754576,755583,33170,30662,385848,19853
755584,756591,31100,28525,336796,18891
756592,757599,27728,25497,360682,17421
757600,758607,27369,25147,316057,16644
758608,759615,28027,25687,294075,17079
759616,760623,30670,28390,346168,18625
760624,761631,33457,30385,388615,20174
761632,762639,38551,34916,366149,21824
762640,763647,34068,31125,207677,18042
763648,764655,34219,31633,231441,18917
764656,765663,37439,34643,304220,21423
765664,766671,32315,29494,261086,18292
766672,767679,32727,29611,241223,18084
767680,768687,35278,32055,301236,20659
768688,769695,32851,29853,288680,19560
769696,770703,26871,24554,215744,15999
770704,771711,28869,25935,220153,16664
771712,772719,31982,29262,348492,19653
772720,773727,33062,29432,361656,20400
773728,774735,35528,31777,404170,22251
774736,775743,33393,30312,376169,20862
775744,776751,27312,25702,206639,16676
776752,777759,25689,23737,233311,15617
777760,778767,29628,27640,334079,18325
778768,779775,28783,26924,349972,18074
779776,780783,31465,29336,285306,18763
780784,781791,30613,28812,306199,18638
781792,782799,26624,25078,255817,16337
782800,783807,32647,29741,473402,20435
783808,784815,31808,28443,471110,19978
784816,785823,31021,28277,453791,19966
785824,786831,33393,28759,420393,20048
786832,787839,41050,29116,385550,20028
787840,788847,38944,26184,328170,17694
788848,789855,37381,22598,336494,15365
789856,790863,34590,23206,348487,15819
790864,791871,34397,27468,1012610,19578
791872,792879,34147,28790,942796,20566
792880,793887,30890,26341,381661,17291
793888,794895,28605,23845,727240,17215
794896,795903,29007,25145,1071177,18429
795904,796911,27145,22999,521545,16573
796912,797919,28172,21457,564059,15979
797920,798927,34529,25833,929745,19402
798928,799935,33353,25133,939909,18880
799936,800943,34782,25348,777833,19043
800944,801951,31877,23241,412665,16952
801952,802959,30662,22282,383614,16134
802960,803967,32486,21449,308631,15211
803968,804975,40446,22766,356293,16134
804976,805983,34221,23788,338152,16805
805984,806991,37633,21515,228146,14262
806992,807999,36825,20966,237226,14447
808000,809007,34253,21179,519250,15262
809008,810015,25722,21997,373968,15882
810016,811023,24785,22119,337451,16293
811024,812031,23741,21266,247482,15920
812032,813039,31804,26877,342110,20762
813040,814047,33556,26831,554289,20273
814048,815055,31668,24347,723396,17995
815056,816063,37232,25807,1255730,18300
816064,817071,37086,25516,1181216,17182
817072,818079,35593,23773,1514622,16384
818080,819087,34079,25007,1370135,17116
819088,820095,35099,26433,668124,17726
820096,821103,34536,28223,1302403,20289
821104,822111,35616,24413,1183985,17730
822112,823119,34856,22996,1434242,17199
823120,824127,31719,24677,2100209,18932
824128,825135,29231,23003,683922,16003
825136,826143,29611,21075,885144,13873
826144,827151,35332,26724,2066171,18800
827152,828159,31481,18029,435642,12341
828160,829167,26552,21485,786589,14501
829168,830175,24953,22207,839669,14807
830176,831183,28352,24526,600415,16446
831184,832191,32971,28062,1107298,20303
832192,833199,29950,26534,760670,18095
833200,834207,30882,21975,699614,14575
834208,835215,30579,24229,790881,15976
835216,836223,25628,22609,725202,15732
836224,837231,27665,20201,564730,14218
837232,838239,25042,20905,696329,15561
838240,839247,27627,22304,1015762,16535
839248,840255,27511,23830,685732,17179
840256,841263,38233,30452,1198492,22987
841264,842271,28905,26210,796830,19662
842272,843279,30915,28540,1226737,22038
843280,844287,30925,29097,1673889,22958
844288,845295,28980,27282,1509306,21314
845296,846303,31641,29203,1797759,22664
846304,847311,26660,24595,1288224,19748
847312,848319,25880,24586,1322354,19413
848320,849327,29954,27939,2717229,22749
849328,850335,28900,27753,3789770,22579
850336,851343,28004,26534,2756521,21917
851344,852351,35223,33760,8810433,29489
852352,853359,35569,34000,10714455,29604
853360,854367,43533,41745,23888505,37710
854368,855375,35208,33694,12162379,28503
855376,856383,55785,51499,30660123,45702
856384,857391,56037,52575,59540388,47718
857392,858399,94252,91513,155325976,86626
858400,859407,72239,70326,70536472,65257
859408,860415,63314,61818,64305596,56619
860416,861423,56764,55518,46876814,49826
861424,862431,30669,28914,7680694,23542
862432,863439,39690,37471,15128198,32035
863440,864447,37870,36080,12596639,30978
864448,865455,39462,38330,5478826,33463
865456,866463,40335,38184,3516734,32464
866464,867471,36127,34722,3313231,29327
867472,868479,38522,37280,20527065,32198
868480,869487,33314,32037,13863427,26525
869488,870495,28613,26139,1704766,19306
870496,871503,29423,26086,1637692,20226
871504,872511,30884,25796,1547835,19469
872512,873519,28762,25735,2382690,19403
873520,874527,30692,25759,1095918,19640
874528,875535,28729,23803,987019,18422
875536,876543,29572,23865,816225,18834
876544,877551,30790,23698,828029,19604
877552,878559,38724,29431,1856795,25108
878560,879567,31737,24356,766959,19814
879568,880575,27741,25062,1408588,19594
880576,881583,29390,26809,2174360,21772
881584,882591,26712,22515,735553,16998
882592,883599,27985,22062,769159,17085
883600,884607,37486,28240,13150442,23406
884608,885615,44142,34776,6126837,29783
885616,886623,35858,28893,755321,22742
886624,887631,35285,27816,842887,22750
887632,888639,33926,26817,784595,21938
888640,889647,35337,26743,997378,22051
889648,890655,33249,26668,1362362,22004
890656,891314,17180,13727,389004,10928
