start_block,end_block,heuristic_count,total_transactions,avg_per_block,avg_tx_per_block,normalized_ratio
528784,529791,0,1233833,0.0,1224.0406746031747,0.0
529792,530799,0,1389305,0.0,1378.27876984127,0.0
530800,531807,0,1351427,0.0,1340.701388888889,0.0
531808,532815,0,1393209,0.0,1382.1517857142858,0.0
532816,533823,0,1386081,0.0,1375.080357142857,0.0
533824,534831,0,1414284,0.0,1403.059523809524,0.0
534832,535839,0,1393740,0.0,1382.678571428571,0.0
535840,536847,0,1375533,0.0,1364.616071428571,0.0
536848,537855,0,1412785,0.0,1401.5724206349207,0.0
537856,538863,0,1333932,0.0,1323.345238095238,0.0
538864,539871,0,1530979,0.0,1518.828373015873,0.0
539872,540879,0,1576659,0.0,1564.1458333333333,0.0
540880,541887,0,1568447,0.0,1555.999007936508,0.0
541888,542895,0,1619489,0.0,1606.6359126984128,0.0
542896,543903,0,1549274,0.0,1536.9781746031747,0.0
543904,544911,0,1716156,0.0,1702.5357142857142,0.0
544912,545919,0,1715365,0.0,1701.750992063492,0.0
545920,546927,0,1752294,0.0,1738.3869047619048,0.0
546928,547935,0,1802898,0.0,1788.5892857142858,0.0
547936,548943,0,1862393,0.0,1847.6121031746031,0.0
548944,549951,0,2140980,0.0,2123.9880952380954,0.0
549952,550959,0,2141221,0.0,2124.2271825396824,0.0
550960,551967,0,2132200,0.0,2115.277777777778,0.0
551968,552975,0,2088911,0.0,2072.332341269841,0.0
552976,553983,0,1963348,0.0,1947.765873015873,0.0
553984,554991,0,1944140,0.0,1928.7103174603171,0.0
554992,555999,0,1716293,0.0,1702.671626984127,0.0
556000,557007,0,1747384,0.0,1733.515873015873,0.0
557008,558015,0,1910734,0.0,1895.5694444444443,0.0
558016,559023,0,2205516,0.0,2188.0119047619046,0.0
559024,560031,0,2074351,0.0,2057.8878968253966,0.0
560032,561039,0,2178791,0.0,2161.499007936508,0.0
561040,562047,0,2205180,0.0,2187.678571428572,0.0
562048,563055,0,2207275,0.0,2189.7569444444443,0.0
563056,564063,0,2292756,0.0,2274.559523809524,0.0
564064,565071,0,2352729,0.0,2334.056547619048,0.0
565072,566079,0,2217650,0.0,2200.049603174604,0.0
566080,567087,0,1947352,0.0,1931.8968253968253,0.0
567088,568095,0,1788877,0.0,1774.6795634920634,0.0
504592,505599,0,1509699,0.0,1497.717261904762,0.0
569104,570111,0,2656041,0.0,2634.9613095238096,0.0
570112,571119,0,2571824,0.0,2551.4126984126983,0.0
571120,572127,0,2618693,0.0,2597.909722222222,0.0
572128,573135,0,2517055,0.0,2497.078373015873,0.0
573136,574143,0,2496518,0.0,2476.7043650793653,0.0
574144,575151,0,2569374,0.0,2548.9821428571427,0.0
