start_block,end_block,total_transactions,blocks_in_period,avg_tx_per_block
586240,587247,2064473,1008,2048.0882936507937
587248,588255,2054897,1008,2038.5882936507937
588256,589263,2181002,1008,2163.6924603174602
589264,590271,2202114,1008,2184.6369047619046
590272,591279,2225589,1008,2207.9255952380954
591280,592287,2151924,1008,2134.845238095238
592288,593295,2197940,1008,2180.496031746032
593296,594303,2023154,1008,2007.0972222222222
594304,595311,2040280,1008,2024.0873015873017
595312,596319,2210996,1008,2193.4484126984125
596320,597327,2196512,1008,2179.0793650793653
597328,598335,2172835,1008,2155.590277777778
598336,599343,2157237,1008,2140.1160714285716
599344,600351,2224265,1008,2206.6121031746034
600352,601359,2202284,1008,2184.8055555555557
601360,602367,2299923,1008,2281.6696428571427
602368,603375,2232925,1008,2215.2033730158732
603376,604383,2062317,1008,2045.9494047619048
604384,605391,2197123,1008,2179.685515873016
605392,606399,2212698,1008,2195.1369047619046
606400,607407,2045048,1008,2028.8174603174602
607408,608415,2164043,1008,2146.8680555555557
608416,609423,2018035,1008,2002.0188492063492
609424,610431,2027943,1008,2011.8482142857142
610432,611439,1834916,1008,1820.3531746031747
611440,612447,2090484,1008,2073.8928571428573
612448,613455,2116743,1008,2099.9434523809523
613456,614463,2041225,1008,2025.0248015873017
614464,615471,2124711,1008,2107.848214285714
615472,616479,2270354,1008,2252.3353174603176
616480,617487,2373569,1008,2354.7311507936506
617488,618495,2253458,1008,2235.5734126984125
618496,619503,2272587,1008,2254.5505952380954
619504,620511,2164668,1008,2147.4880952380954
620512,621519,2241331,1008,2223.5426587301586
621520,622527,2200648,1008,2183.1825396825398
622528,623535,1935835,1008,1920.4712301587301
623536,624543,1833163,1008,1818.6140873015872
624544,625551,1817742,1008,1803.3154761904761
625552,626559,1867037,1008,1852.219246031746
626560,627567,2063527,1008,2047.1498015873017
627568,628575,2176637,1008,2159.3621031746034
628576,629583,2120873,1008,2104.0406746031745
629584,630591,2222366,1008,2204.7281746031745
630592,631599,2291734,1008,2273.5456349206347
631600,632607,2105042,1008,2088.3353174603176
632608,633615,1942731,1008,1927.3125
633616,634623,1929080,1008,1913.7698412698412
634624,635631,2171312,1008,2154.0793650793653
635632,636639,2108132,1008,2091.4007936507937
636640,637647,2057331,1008,2041.0029761904761
637648,638655,2117842,1008,2101.03373015873
638656,639663,2245009,1008,2227.191468253968
639664,640671,2370412,1008,2351.5992063492063
640672,641679,2265466,1008,2247.4861111111113
641680,642687,2192231,1008,2174.8323412698414
642688,643695,2120961,1008,2104.127976190476
643696,644703,2220155,1008,2202.534722222222
644704,645711,2249523,1008,2231.6696428571427
645712,646719,2211832,1008,2194.277777777778
646720,647727,2089940,1008,2073.3531746031745
647728,648735,1968403,1008,1952.780753968254
648736,649743,2127801,1008,2110.9136904761904
649744,650751,2150313,1008,2133.247023809524
650752,651759,2208448,1008,2190.9206349206347
651760,652767,2105639,1008,2088.9275793650795
652768,653775,2173443,1008,2156.1934523809523
653776,654783,2389092,1008,2370.1309523809523
654784,655791,2242676,1008,2224.876984126984
655792,656799,1991170,1008,1975.3670634920634
656800,657807,2031688,1008,2015.563492063492
657808,658815,2080949,1008,2064.433531746032
658816,659823,2181954,1008,2164.6369047619046
659824,660831,2174028,1008,2156.7738095238096
660832,661839,2187522,1008,2170.160714285714
661840,662847,2175127,1008,2157.8640873015875
662848,663855,2064768,1008,2048.3809523809523
663856,664863,2119233,1008,2102.4136904761904
664864,665871,2263753,1008,2245.7867063492063
665872,666879,2196923,1008,2179.4871031746034
666880,667887,2148164,1008,2131.1150793650795
667888,668895,2263037,1008,2245.0763888888887
668896,669903,2193607,1008,2176.1974206349205
669904,670911,2268454,1008,2250.4503968253966
670912,671919,2214112,1008,2196.5396825396824
671920,672927,2161024,1008,2143.873015873016
672928,673935,2060342,1008,2043.9900793650793
673936,674943,2109689,1008,2092.9454365079364
674944,675951,1957405,1008,1941.8700396825398
675952,676959,1971944,1008,1956.2936507936508
676960,677967,2055950,1008,2039.6329365079366
677968,678975,2033754,1008,2017.6130952380952
678976,679983,2178401,1008,2161.1121031746034
679984,680991,2021993,1008,2005.9454365079366
680992,681999,1759171,1008,1745.2093253968253
682000,683007,1705333,1008,1691.798611111111
683008,684015,1838561,1008,1823.969246031746
684016,685023,1977210,1008,1961.517857142857
685024,686031,1639265,1008,1626.2549603174602
686032,687039,1648612,1008,1635.5277777777778
687040,688047,1822948,1008,1808.4801587301588
688048,689055,2066051,1008,2049.65376984127
689056,690063,1943579,1008,1928.1537698412699
690064,691071,1545117,1008,1532.8541666666667
691072,692079,1495330,1008,1483.4623015873017
692080,693087,1475931,1008,1464.217261904762
693088,694095,1510975,1008,1498.983134920635
694096,695103,1509021,1008,1497.044642857143
695104,696111,1544825,1008,1532.564484126984
696112,697119,1509785,1008,1497.8025793650793
697120,698127,1594141,1008,1581.4890873015872
698128,699135,1773066,1008,1758.9940476190477
699136,700143,1735729,1008,1721.953373015873
700144,701151,1711698,1008,1698.1130952380952
701152,702159,1683366,1008,1670.0059523809523
702160,703167,1699625,1008,1686.1359126984128
703168,704175,1893898,1008,1878.8670634920634
704176,705183,1837264,1008,1822.6825396825398
705184,706191,1901378,1008,1886.2876984126983
706192,707199,1708532,1008,1694.9722222222222
707200,708207,1826789,1008,1812.2906746031747
708208,709215,1860270,1008,1845.5059523809523
709216,710223,1844968,1008,1830.3253968253969
710224,711231,1940179,1008,1924.780753968254
711232,712239,2018089,1008,2002.0724206349207
712240,713247,1666843,1008,1653.6140873015872
713248,714255,1763252,1008,1749.2579365079366
714256,715263,1856370,1008,1841.6369047619048
715264,716271,1739533,1008,1725.7271825396826
716272,717279,1622933,1008,1610.0525793650793
717280,718287,1779115,1008,1764.9950396825398
718288,719295,1573376,1008,1560.888888888889
719296,720303,1726363,1008,1712.6617063492063
720304,721311,1763483,1008,1749.4871031746031
721312,722319,1835104,1008,1820.5396825396826
722320,723327,1623493,1008,1610.608134920635
723328,724335,1656190,1008,1643.045634920635
724336,725343,1780265,1008,1766.1359126984128
725344,726351,1825730,1008,1811.2400793650793
726352,727359,1700154,1008,1686.6607142857142
727360,728367,1677579,1008,1664.264880952381
728368,729375,1770849,1008,1756.794642857143
729376,730383,1885633,1008,1870.6676587301588
730384,731391,1808516,1008,1794.1626984126983
731392,732399,1743622,1008,1729.7837301587301
732400,733407,1752505,1008,1738.5962301587301
733408,734415,1788278,1008,1774.0853174603174
734416,735423,1780711,1008,1766.578373015873
735424,736431,1867616,1008,1852.7936507936508
736432,737439,1863613,1008,1848.8224206349207
737440,738447,1799096,1008,1784.8174603174602
738448,739455,1811389,1008,1797.0128968253969
739456,740463,1651349,1008,1638.2430555555557
740464,741471,1893368,1008,1878.3412698412699
741472,742479,1732045,1008,1718.298611111111
742480,743487,1731066,1008,1717.327380952381
743488,744495,1756642,1008,1742.7003968253969
744496,745503,1841644,1008,1827.0277777777778
745504,746511,1819145,1008,1804.7073412698412
746512,747519,1746082,1008,1732.2242063492063
747520,748527,1691496,1008,1678.0714285714287
748528,749535,1796653,1008,1782.3938492063492
749536,750543,1718230,1008,1704.593253968254
750544,751551,1565338,1008,1552.9146825396826
751552,752559,1734526,1008,1720.7599206349207
752560,753567,1747543,1008,1733.673611111111
753568,754575,1775258,1008,1761.1686507936508
754576,755583,1772919,1008,1758.8482142857142
755584,756591,1735870,1008,1722.093253968254
756592,757599,1616171,1008,1603.344246031746
757600,758607,1611912,1008,1599.1190476190477
758608,759615,1740425,1008,1726.6121031746031
759616,760623,1818734,1008,1804.2996031746031
760624,761631,1838739,1008,1824.1458333333333
761632,762639,1883139,1008,1868.1934523809523
762640,763647,1827319,1008,1812.8164682539682
763648,764655,1888878,1008,1873.8869047619048
764656,765663,2006839,1008,1990.9117063492063
765664,766671,1741651,1008,1727.828373015873
766672,767679,1745710,1008,1731.8551587301588
767680,768687,1931043,1008,1915.717261904762
768688,769695,1795716,1008,1781.4642857142858
769696,770703,1635897,1008,1622.9136904761904
770704,771711,1797508,1008,1783.2420634920634
771712,772719,1965175,1008,1949.578373015873
772720,773727,1947938,1008,1932.4781746031747
773728,774735,2087133,1008,2070.5684523809523
774736,775743,2185116,1008,2167.7738095238096
775744,776751,1945512,1008,1930.0714285714287
776752,777759,1762614,1008,1748.625
777760,778767,2072903,1008,2056.4513888888887
778768,779775,2168748,1008,2151.535714285714
779776,780783,2129885,1008,2112.9811507936506
780784,781791,2156940,1008,2139.8214285714284
781792,782799,1891355,1008,1876.344246031746
782800,783807,2307412,1008,2289.0992063492063
783808,784815,2335625,1008,2317.0882936507937
784816,785823,2139311,1008,2122.3323412698414
785824,786831,2383702,1008,2364.78373015873
786832,787839,3403462,1008,3376.4503968253966
787840,788847,3816614,1008,3786.3234126984125
788848,789855,3813404,1008,3783.1388888888887
789856,790863,3473540,1008,3445.972222222222
790864,791871,3247624,1008,3221.8492063492063
791872,792879,3001079,1008,2977.2609126984125
792880,793887,2647426,1008,2626.4146825396824
793888,794895,2901415,1008,2878.3878968253966
794896,795903,2912341,1008,2889.2271825396824
795904,796911,2722565,1008,2700.9573412698414
796912,797919,2965557,1008,2942.0208333333335
797920,798927,3348205,1008,3321.6319444444443
798928,799935,3258798,1008,3232.934523809524
799936,800943,3337279,1008,3310.7926587301586
800944,801951,3095883,1008,3071.3125
801952,802959,3124549,1008,3099.750992063492
802960,803967,3412198,1008,3385.1170634920636
803968,804975,3273569,1008,3247.5882936507937
804976,805983,3215418,1008,3189.8988095238096
805984,806991,3744326,1008,3714.6091269841268
806992,807999,3511287,1008,3483.4196428571427
808000,809007,3755984,1008,3726.1746031746034
809008,810015,2444248,1008,2424.8492063492063
810016,811023,2079019,1008,2062.5188492063494
811024,812031,1727221,1008,1713.5128968253969
812032,813039,1885090,1008,1870.1289682539682
813040,814047,2417838,1008,2398.6488095238096
814048,815055,3089538,1008,3065.0178571428573
815056,816063,3828938,1008,3798.5496031746034
816064,817071,3906450,1008,3875.4464285714284
817072,818079,3917920,1008,3886.8253968253966
818080,819087,3550629,1008,3522.4494047619046
819088,820095,3539729,1008,3511.6359126984125
820096,821103,3622154,1008,3593.406746031746
821104,822111,4037626,1008,4005.5813492063494
822112,823119,3974666,1008,3943.121031746032
823120,824127,3863487,1008,3832.8244047619046
824128,825135,3017478,1008,2993.529761904762
825136,826143,3418432,1008,3391.3015873015875
826144,827151,3339093,1008,3312.592261904762
827152,828159,3259542,1008,3233.6726190476193
828160,829167,2559471,1008,2539.157738095238
829168,830175,2296752,1008,2278.5238095238096
830176,831183,2350399,1008,2331.7450396825398
831184,832191,2659858,1008,2638.748015873016
832192,833199,2794241,1008,2772.064484126984
833200,834207,2524319,1008,2504.284722222222
834208,835215,2450284,1008,2430.8373015873017
835216,836223,2508331,1008,2488.4236111111113
836224,837231,2688575,1008,2667.2371031746034
837232,838239,2632608,1008,2611.714285714286
838240,839247,3244427,1008,3218.6775793650795
839248,840255,3402039,1008,3375.0386904761904
840256,841263,4074705,1008,4042.3660714285716
841264,842271,3832563,1008,3802.1458333333335
842272,843279,4072371,1008,4040.0505952380954
843280,844287,3595151,1008,3566.6180555555557
844288,845295,4498868,1008,4463.162698412699
845296,846303,4886587,1008,4847.804563492064
846304,847311,4064292,1008,4032.035714285714
847312,848319,4062870,1008,4030.625
848320,849327,4165719,1008,4132.6577380952385
849328,850335,4149381,1008,4116.449404761905
850336,851343,4096347,1008,4063.8363095238096
851344,852351,4265238,1008,4231.386904761905
852352,853359,4049889,1008,4017.747023809524
853360,854367,4135353,1008,4102.5327380952385
854368,855375,4073986,1008,4041.652777777778
855376,856383,3652948,1008,3623.9563492063494
856384,857391,4166217,1008,4133.151785714285
857392,858399,4898489,1008,4859.612103174603
858400,859407,4503919,1008,4468.173611111111
859408,860415,4647089,1008,4610.207341269841
860416,861423,4230800,1008,4197.222222222223
861424,862431,3997359,1008,3965.6339285714284
862432,863439,3850094,1008,3819.5376984126983
863440,864447,4111343,1008,4078.7132936507937
864448,865455,4634993,1008,4598.207341269841
865456,866463,4336951,1008,4302.5307539682535
866464,867471,4492928,1008,4457.269841269841
867472,868479,3992240,1008,3960.5555555555557
868480,869487,3452945,1008,3425.5406746031745
869488,870495,3831118,1008,3800.7123015873017
870496,871503,4128821,1008,4096.0525793650795
871504,872511,3462504,1008,3435.0238095238096
872512,873519,3380962,1008,3354.128968253968
873520,874527,3034242,1008,3010.160714285714
874528,875535,3001186,1008,2977.3670634920636
875536,876543,2371603,1008,2352.780753968254
876544,877551,2355061,1008,2336.3700396825398
877552,878559,2973212,1008,2949.6150793650795
878560,879567,2665939,1008,2644.780753968254
879568,880575,2610558,1008,2589.839285714286
880576,881583,2362948,1008,2344.1944444444443
881584,882591,2430575,1008,2411.284722222222
882592,883599,2753504,1008,2731.6507936507937
883600,884607,2621109,1008,2600.3065476190477
884608,885615,3449076,1008,3421.7023809523807
885616,886623,2270446,1008,2252.4265873015875
886624,887631,2549817,1008,2529.5803571428573
887632,888639,2965164,1008,2941.6309523809523
888640,889647,3066727,1008,3042.3878968253966
889648,890655,2416231,1008,2397.0545634920636
890656,891314,1418658,659,2152.743550834598
