start_block,end_block,heuristic_count,total_transactions,avg_per_block,avg_tx_per_block,normalized_ratio
430000,431007,0,1492605,0.0,1480.758928571429,0.0
431008,432015,0,1436559,0.0,1425.157738095238,0.0
432016,433023,0,1608428,0.0,1595.6626984126983,0.0
433024,434031,307318,1667956,304.87896825396825,1654.718253968254,0.18424826554177687
434032,435039,300311,1671844,297.92757936507934,1658.5753968253969,0.17962860171164294
435040,436047,292169,1627245,289.85019841269843,1614.330357142857,0.17954825487249923
436048,437055,300410,1674041,298.0257936507937,1660.7549603174602,0.17945199669542147
437056,438063,0,1799280,0.0,1785.0,0.0
438064,439071,289764,1588040,287.4642857142857,1575.436507936508,0.1824664366136873
439072,440079,0,1862716,0.0,1847.93253968254,0.0
440080,441087,0,1915714,0.0,1900.5099206349207,0.0
441088,442095,0,1868159,0.0,1853.3323412698408,0.0
442096,443103,316932,1755067,314.4166666666667,1741.1378968253969,0.180581140207183
443104,444111,0,1885288,0.0,1870.3253968253969,0.0
444112,445119,339050,1880598,336.359126984127,1865.672619047619,0.18028839762671237
445120,446127,318201,1775123,315.67559523809524,1761.0347222222222,0.17925574734821192
446128,447135,0,1976709,0.0,1961.0208333333333,0.0
447136,448143,0,1806075,0.0,1791.741071428571,0.0
448144,449151,304988,1685194,302.5674603174603,1671.8194444444443,0.1809809434403398
449152,450159,0,1737544,0.0,1723.7539682539682,0.0
450160,451167,0,1716325,0.0,1702.703373015873,0.0
451168,452175,341067,1999324,338.36011904761904,1983.4563492063487,0.1705911598120165
452176,453183,328616,1909836,326.0079365079365,1894.6785714285716,0.17206503595073083
453184,454191,0,1980453,0.0,1964.735119047619,0.0
454192,455199,0,1990947,0.0,1975.1458333333333,0.0
455200,456207,0,2100348,0.0,2083.678571428572,0.0
456208,457215,330560,1918211,327.93650793650795,1902.9871031746031,0.1723272361591087
457216,458223,329698,1926633,327.0813492063492,1911.342261904762,0.17112651968485953
458224,459231,0,1777516,0.0,1763.40873015873,0.0
459232,460239,0,1814089,0.0,1799.6914682539682,0.0
460240,461247,323751,1830168,321.1815476190476,1815.642857142857,0.17689687504097984
461248,462255,0,1835621,0.0,1821.0525793650795,0.0
462256,463263,352772,1938638,349.97222222222223,1923.251984126984,0.18196899060061755
463264,464271,378109,2078082,375.10813492063494,2061.589285714286,0.1819509528497913
464272,465279,369192,2082766,366.26190476190476,2066.2361111111118,0.17726043156072255
465280,466287,0,2119040,0.0,2102.222222222222,0.0
466288,467295,380608,2028992,377.58730158730157,2012.888888888889,0.1875847711573037
467296,468303,395027,2218444,391.89186507936506,2200.8373015873017,0.1780648959360705
468304,469311,0,1971665,0.0,1956.016865079365,0.0
469312,470319,368502,1818651,365.57738095238096,1804.217261904762,0.2026238129250747
470320,471327,385585,1875939,382.52480158730157,1861.0505952380952,0.2055423977005649
471328,472335,0,1807597,0.0,1793.250992063492,0.0
472336,473343,352950,1748120,350.1488095238095,1734.2460317460318,0.2019026153810951
474352,475359,0,1476485,0.0,1464.766865079365,0.0
475360,476367,0,1534678,0.0,1522.498015873016,0.0
476368,477375,0,1462539,0.0,1450.9315476190477,0.0
477376,478383,338215,1510354,335.530753968254,1498.3670634920634,0.22393094599014537
478384,479391,302585,1355558,300.18353174603175,1344.7996031746031,0.22321804009861623
479392,480399,391254,1828705,388.1488095238095,1814.191468253968,0.21395140276862593
480400,481407,388103,1947203,385.02281746031747,1931.749007936508,0.19931306597206352
481408,482415,397506,1976497,394.3511904761905,1960.810515873016,0.20111641960498802
482416,483423,341075,1576270,338.36805555555554,1563.7599206349207,0.2163810768459718
483424,484431,0,1530740,0.0,1518.59126984127,0.0
484432,485439,311528,1453448,309.05555555555554,1441.9126984126983,0.21433721743055137
485440,486447,0,1554738,0.0,1542.3988095238096,0.0
486448,487455,325253,1620148,322.671626984127,1607.2896825396826,0.20075511619926079
487456,488463,339353,1714128,336.65972222222223,1700.5238095238096,0.19797413028665303
488464,489471,335868,1726606,333.20238095238096,1712.9027777777778,0.19452498137965465
489472,490479,353430,1935492,350.625,1920.1309523809523,0.18260473306012115
490480,491487,348768,1904841,346.0,1889.7232142857144,0.18309559695533642
491488,492495,375914,1985860,372.93055555555554,1970.0992063492065,0.18929531789753556
492496,493503,415396,2184505,412.0992063492063,2167.1676587301586,0.19015566455558583
493504,494511,0,2222865,0.0,2205.223214285714,0.0
494512,495519,395501,1947879,392.3621031746032,1932.419642857143,0.20304187272412713
495520,496527,0,2193884,0.0,2176.472222222222,0.0
496528,497535,0,2193791,0.0,2176.37996031746,0.0
497536,498543,401356,2384435,398.17063492063494,2365.5109126984125,0.16832331348935914
498544,499551,371857,2351741,368.905753968254,2333.0763888888887,0.15811987799676921
499552,500559,380682,2403160,377.6607142857143,2384.0873015873017,0.15840892824447808
500560,501567,346722,1975752,343.9702380952381,1960.071428571429,0.17548862407832558
501568,502575,0,2123736,0.0,2106.8809523809523,0.0
502576,503583,334645,2229553,331.9890873015873,2211.8581349206347,0.15009510875049842
503584,504591,293486,1769376,291.156746031746,1755.3333333333333,0.16586977555929322
504592,505599,0,1509699,0.0,1497.717261904762,0.0
505600,506607,0,1426055,0.0,1414.7371031746031,0.0
506608,507615,285864,1431340,283.5952380952381,1419.9801587301588,0.19971774700630177
507616,508623,273851,1305177,271.67757936507934,1294.8184523809523,0.20981905136238227
508624,509631,245173,1167910,243.22718253968253,1158.640873015873,0.20992456610526494
509632,510639,249272,1210889,247.29365079365078,1201.27876984127,0.20585867077824635
510640,511647,262745,1221789,260.65972222222223,1212.092261904762,0.21504940705801084
